,Brand,Description,Original Price,Discount,Discounted Price
73,bluemaker,sneaker for mens and boys Sneakers For Men,₹999,62% off,₹499
74,Magnolia,White Casual Shoes Sneakers For Men,"₹2,495",69% off,₹377
75,SWIGGY,Sneakers For Men,"₹1,499",66% off,₹759
76,Englewood,Combo Pack of 3 Casual Shoes Sneakers For Men,₹998,48% off,₹499
77,Chevit,Combo Pack Of 3 Loafer Shoes Sneakers For Men,₹499,30% off,₹510
78,Chevit,casual sneaker shoes and partywear shoes Casuals For Me...,₹999,54% off,₹348
79,richerson,Latest & Stylish Design Combo Pack of 2 Pairs Sneakers ...,"₹4,999",42% off,₹455
80,PUMA,SD-323 Sneakers For Men,₹999,64% off,"₹2,879"
81,vellore,Sneakers For Men,₹998,66% off,₹358
82,Chevit,Sneakers For Men,₹998,57% off,₹339
83,Chevit,Sneakers For Men,₹999,62% off,₹420
84,VORII,"Combo pack of 2 casual, sneaker and loafer shoes for me...",₹599,33% off,₹379
85,well feet,Sneakers For Men,₹999,55% off,₹399
86,PERY-PAO,Modern Trendy Shoes Combo pack of 4 Sneakers For Men,₹999,36% off,₹449
87,Jack Diamond,Colourblocked Trending Multicolor Ultralight canvas Spo...,₹999,36% off,₹635
88,Jack Diamond,SM-482 Sneakers For Men,₹999,43% off,₹630
89,ELISEO,Combo Pack of 2 Casual Loafer Sneakers Shoes Sneakers F...,"₹1,499",55% off,₹569
90,Aura,Synthetic Leather Casual Sneakers Shoes For Men Sneaker...,"₹2,900",85% off,₹664
91,BRUTON,Combo Pack of 2 Latest Collection Stylish Casual Shoes ...,"₹1,480",68% off,₹424
92,Jokatoo,high quality casual sneaker shoes Sneakers For Men,"₹1,298",53% off,₹465
93,Chevit,casual for men (beige 06) Sneakers For Men,₹749,15% off,₹599
94,SPARX,Sneakers For Men,₹999,57% off,₹630
95,ROCKFIELD,Synthetic Leather Casual Sneakers Shoes For Men Sneaker...,₹999,60% off,₹424
96,Adies,Designer Printed Casual Sneakers Shoes Sneakers For Men,₹999,65% off,₹395
97,M K FOOTWEAR,"New Fashion Outdoor Trendy Lightweight Casual,Canvas St...",₹999,50% off,₹349
98,Robbie jones,Sneakers For Men,₹998,39% off,₹499
99,BERSACHE,casual shoe for men Sneakers For Men,₹999,55% off,₹599
