,Brand,Phone Name,Color,RAM,Storage (ROM),Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor Core,Battery Capacity,Price,Product URL
0,OPPO,A12,Blue,4 GB,64 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),1520 x 720 Pixels,MediaTek Helio P35,Octa Core,4230 mAh,"₹11,999",https://www.flipkart.com/oppo-a12-blue-64-gb/p/itmfc859cdf39e01?pid=MOBFSDDJJEN7YZXJ&lid=LSTMOBFSDDJJEN7YZXJBIMTHF&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFSDDJJEN7YZXJ.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
1,OPPO,A12,Deep Blue,3 GB,32 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),1520 x 720 Pixels,MediaTek Helio P35,Octa Core,4230 mAh,"₹7,990",https://www.flipkart.com/oppo-a12-deep-blue-32-gb/p/itmfc859cdf39e01?pid=MOBFZCPFHAT4RCE8&lid=LSTMOBFZCPFHAT4RCE8CIDDGJ&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFZCPFHAT4RCE8.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
2,OPPO,A12,Deep Blue,4 GB,64 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),1520 x 720 Pixels,MediaTek Helio P35,Octa Core,4230 mAh,"₹9,880",https://www.flipkart.com/oppo-a12-deep-blue-64-gb/p/itmfc859cdf39e01?pid=MOBFZCPFGTXCR6K4&lid=LSTMOBFZCPFGTXCR6K4Z5TCU3&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFZCPFGTXCR6K4.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
3,OPPO,A12,Black,3 GB,32 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),1520 x 720 Pixels,MediaTek Helio P35,Octa Core,4230 mAh,"₹9,999",https://www.flipkart.com/oppo-a12-black-32-gb/p/itmfc859cdf39e01?pid=MOBFSDDJSMYQY6RS&lid=LSTMOBFSDDJSMYQY6RSFDT4Z8&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFSDDJSMYQY6RS.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
4,OPPO,A12,Flowing Silver,3 GB,32 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),1520 x 720 Pixels,MediaTek Helio P35,Octa Core,4230 mAh,"₹7,990",https://www.flipkart.com/oppo-a12-flowing-silver-32-gb/p/itmfc859cdf39e01?pid=MOBFZCPF4HDCZKVY&lid=LSTMOBFZCPF4HDCZKVYIH8PZX&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFZCPF4HDCZKVY.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
5,OPPO,A12,Black,4 GB,64 GB,13MP + 2MP,5MP Front Camera,15.8 cm (6.22 inch),1520 x 720 Pixels,MediaTek Helio P35,Octa Core,4230 mAh,"₹11,499",https://www.flipkart.com/oppo-a12-black-64-gb/p/itmfc859cdf39e01?pid=MOBFSDDJGQUVGNQG&lid=LSTMOBFSDDJGQUVGNQGKMDKHA&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFSDDJGQUVGNQG.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
6,OPPO,F19 Pro,Crystal Silver,8 GB,256 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95 (MT6779V),Octa Core,73.2 mm,"₹23,490",https://www.flipkart.com/oppo-f19-pro-crystal-silver-256-gb/p/itmf3153ba8dbf1a?pid=MOBGYV9VFD8HTPZ4&lid=LSTMOBGYV9VFD8HTPZ4GKQ4SL&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGYV9VFD8HTPZ4.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
7,OPPO,F19 Pro,Fluid Black,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95 (MT6779V),Octa Core,73.2 mm,"₹21,490",https://www.flipkart.com/oppo-f19-pro-fluid-black-128-gb/p/itmf3153ba8dbf1a?pid=MOBGYV9VCE8G2SDV&lid=LSTMOBGYV9VCE8G2SDVKROOXV&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGYV9VCE8G2SDV.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
8,OPPO,F19 Pro,Fluid Black,8 GB,256 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95 (MT6779V),Octa Core,73.2 mm,"₹23,490",https://www.flipkart.com/oppo-f19-pro-fluid-black-256-gb/p/itmf3153ba8dbf1a?pid=MOBGYV9VPHZ33BJY&lid=LSTMOBGYV9VPHZ33BJYH3IF0I&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBGYV9VPHZ33BJY.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
9,OPPO,F17 Pro,Magic Blue,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP + 2MP Dual Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95,Octa Core,73.77 mm,"₹21,490",https://www.flipkart.com/oppo-f17-pro-magic-blue-128-gb/p/itm4e2fc7ddc621c?pid=MOBFVYVXA567AXNY&lid=LSTMOBFVYVXA567AXNYXT3HBZ&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFVYVXA567AXNY.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
10,OPPO,A33,Mint Cream,3 GB,32 GB,13MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Qualcomm Snapdragon 460,Octa Core,5000 mAh,"₹10,990",https://www.flipkart.com/oppo-a33-mint-cream-32-gb/p/itmec568a00f8945?pid=MOBFWQBWHFMNRX9G&lid=LSTMOBFWQBWHFMNRX9GDPFE5M&marketplace=FLIPKART&q=oppo&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=628df107-1f42-458e-9984-ce9dc292bb70.MOBFWQBWHFMNRX9G.SEARCH&ppt=None&ppn=None&ssid=1f8t29m5qo0000001619094692235&qH=c892ba238c98835d
