,Team,Matches,Points,Rating
0,England,44,"5,405",123
1,India,52,"6,102",117
2,New Zealand,33,"3,857",117
3,Australia,39,"4,344",111
4,South Africa,31,"3,345",108
5,Pakistan,35,"3,490",100
6,Bangladesh,38,"3,432",90
7,Sri Lanka,42,"3,372",80
8,West Indies,49,"3,802",78
9,Afghanistan,31,"1,844",59
